Quad Color,Wire Pair,Date,Wire Temp [C],Air Temp [C],Humidity
Pink,WP0,2024-08-14,33.0,32.0,30.0
Pink,WP1,2024-08-14,33.0,32.0,30.0
White,WP0,2024-08-14,33.0,32.0,30.0
White,WP1,2024-08-14,33.0,32.0,30.0
Brown,WP0,2024-08-14,33.0,32.0,30.0
Brown,WP1,2024-08-14,33.0,32.0,30.0
Pink,WP0,2024-08-15,32.0,31.0,30.0
Pink,WP1,2024-08-15,32.0,31.0,30.0
White,WP0,2024-08-15,32.0,31.0,30.0
White,WP1,2024-08-15,32.0,31.0,30.0
Brown,WP0,2024-08-15,32.0,31.0,30.0
Brown,WP1,2024-08-15,32.0,31.0,30.0
Pink,WP0,2024-08-13,25.0,24.0,
Pink,WP1,2024-08-13,25.0,24.0,
White,WP0,2024-08-13,25.0,24.0,
White,WP1,2024-08-13,25.0,24.0,
Brown,WP0,2024-08-13,25.0,24.0,
Brown,WP1,2024-08-13,25.0,24.0,
Pink,WP0,2024-08-12,26.0,25.0,44.0
Pink,WP1,2024-08-12,26.0,25.0,44.0
White,WP0,2024-08-12,25.0,24.0,44.0
Brown,WP0,2024-08-12,25.0,24.0,44.0
Brown,WP1,2024-08-12,25.0,24.0,44.0
White,WP1,2024-08-12,29.0,28.0,38.0
Pink,WP0,2024-08-16,33.0,32.0,28.0
Pink,WP1,2024-08-16,33.0,32.0,28.0
White,WP0,2024-08-16,33.0,32.0,28.0
White,WP1,2024-08-16,33.0,32.0,28.0
Brown,WP0,2024-08-16,33.0,32.0,28.0
Brown,WP1,2024-08-16,33.0,32.0,28.0
Pink,WP0,2024-08-19,33.0,32.0,29.0
Pink,WP1,2024-08-19,33.0,32.0,29.0
White,WP0,2024-08-19,33.0,32.0,29.0
White,WP1,2024-08-19,33.0,32.0,29.0
Brown,WP0,2024-08-19,33.0,32.0,29.0
Brown,WP1,2024-08-19,33.0,32.0,29.0
Pink,WP0,2024-08-20,33.0,32.0,25.0
Pink,WP1,2024-08-20,33.0,32.0,25.0
White,WP0,2024-08-20,33.0,32.0,25.0
White,WP1,2024-08-20,33.0,32.0,25.0
Brown,WP0,2024-08-20,33.0,32.0,25.0
Brown,WP1,2024-08-20,33.0,32.0,25.0
Pink,WP0,2024-08-21,33.0,32.0,26.0
Pink,WP1,2024-08-21,33.0,32.0,26.0
White,WP0,2024-08-21,33.0,32.0,26.0
White,WP1,2024-08-21,33.0,32.0,26.0
Brown,WP0,2024-08-21,33.0,32.0,26.0
Brown,WP1,2024-08-21,33.0,32.0,26.0
Pink,WP0,2024-08-22,34.0,33.0,24.0
Pink,WP1,2024-08-22,34.0,33.0,24.0
White,WP0,2024-08-22,34.0,33.0,24.0
White,WP1,2024-08-22,34.0,33.0,24.0
Brown,WP0,2024-08-22,34.0,33.0,24.0
Brown,WP1,2024-08-22,34.0,33.0,24.0
Pink,WP0,2024-08-23,34.0,33.0,24.0
Pink,WP1,2024-08-23,34.0,33.0,24.0
White,WP0,2024-08-23,34.0,33.0,24.0
White,WP1,2024-08-23,34.0,33.0,24.0
Brown,WP0,2024-08-23,34.0,33.0,24.0
Brown,WP1,2024-08-23,34.0,33.0,24.0
Pink,WP0,2024-08-26,34.0,33.0,25.0
Pink,WP1,2024-08-26,34.0,33.0,25.0
White,WP0,2024-08-26,34.0,33.0,25.0
White,WP1,2024-08-26,34.0,33.0,25.0
Brown,WP0,2024-08-26,34.0,33.0,25.0
Brown,WP1,2024-08-26,34.0,33.0,25.0
Pink,WP0,2024-08-27,34.0,33.0,25.0
Pink,WP1,2024-08-27,34.0,33.0,25.0
White,WP0,2024-08-27,34.0,33.0,25.0
White,WP1,2024-08-27,34.0,33.0,25.0
Brown,WP0,2024-08-27,34.0,33.0,25.0
Brown,WP1,2024-08-27,34.0,33.0,25.0
Pink,WP0,2024-08-28,35.0,34.0,26.0
Pink,WP1,2024-08-28,35.0,34.0,26.0
White,WP0,2024-08-28,35.0,34.0,26.0
White,WP1,2024-08-28,35.0,34.0,26.0
Brown,WP0,2024-08-28,35.0,34.0,26.0
Brown,WP1,2024-08-28,35.0,34.0,26.0
Pink,WP0,2024-08-29,34.0,33.0,25.0
Pink,WP1,2024-08-29,34.0,33.0,25.0
White,WP0,2024-08-29,34.0,33.0,25.0
White,WP1,2024-08-29,34.0,33.0,25.0
Brown,WP0,2024-08-29,34.0,33.0,25.0
Brown,WP1,2024-08-29,34.0,33.0,25.0
Pink,WP0,2024-08-30,34.0,33.0,29.0
Pink,WP1,2024-08-30,34.0,33.0,29.0
White,WP0,2024-08-30,34.0,33.0,29.0
White,WP1,2024-08-30,34.0,33.0,29.0
Brown,WP0,2024-08-30,34.0,33.0,29.0
Brown,WP1,2024-08-30,34.0,33.0,29.0
Pink,WP0,2024-09-03,32.0,31.0,23.0
Pink,WP1,2024-09-03,32.0,31.0,23.0
White,WP0,2024-09-03,32.0,31.0,23.0
White,WP1,2024-09-03,32.0,31.0,23.0
Brown,WP0,2024-09-03,32.0,31.0,23.0
Brown,WP1,2024-09-03,32.0,31.0,23.0
Pink,WP0,2024-09-04,34.0,33.0,24.0
Pink,WP1,2024-09-04,34.0,33.0,24.0
White,WP0,2024-09-04,34.0,33.0,24.0
White,WP1,2024-09-04,34.0,33.0,24.0
Brown,WP0,2024-09-04,34.0,33.0,24.0
Brown,WP1,2024-09-04,34.0,33.0,24.0
Pink,WP0,2024-09-05,33.0,32.0,26.0
Pink,WP1,2024-09-05,33.0,32.0,26.0
White,WP0,2024-09-05,33.0,32.0,26.0
White,WP1,2024-09-05,33.0,32.0,26.0
Brown,WP0,2024-09-05,33.0,32.0,26.0
Brown,WP1,2024-09-05,33.0,32.0,26.0
Pink,WP0,2024-09-06,34.0,33.0,26.0
Pink,WP1,2024-09-06,34.0,33.0,26.0
White,WP0,2024-09-06,34.0,33.0,26.0
White,WP1,2024-09-06,34.0,33.0,26.0
Brown,WP0,2024-09-06,34.0,33.0,26.0
Brown,WP1,2024-09-06,34.0,33.0,26.0
Pink,WP0,2024-09-09,33.0,32.0,25
Pink,WP1,2024-09-09,33.0,32.0,25
White,WP0,2024-09-09,33.0,32.0,25
White,WP1,2024-09-09,33.0,32.0,25
Brown,WP0,2024-09-09,33.0,32.0,25
Brown,WP1,2024-09-09,33.0,32.0,25
Pink,WP0,2024-09-10,31.0,30.0,30
Pink,WP1,2024-09-10,31.0,30.0,30
White,WP0,2024-09-10,31.0,30.0,30
White,WP1,2024-09-10,31.0,30.0,30
Brown,WP0,2024-09-10,31.0,30.0,30
Brown,WP1,2024-09-10,31.0,30.0,30
Pink,WP0,2024-09-11,34.0,33.0,25
Pink,WP1,2024-09-11,34.0,33.0,25
White,WP0,2024-09-11,34.0,33.0,25
White,WP1,2024-09-11,34.0,33.0,25
Brown,WP0,2024-09-11,34.0,33.0,25
Brown,WP1,2024-09-11,34.0,33.0,25
Pink,WP0,2024-09-12,34.0,33.0,24
Pink,WP1,2024-09-12,34.0,33.0,24
White,WP0,2024-09-12,34.0,33.0,24
White,WP1,2024-09-12,34.0,33.0,24
Brown,WP0,2024-09-12,34.0,33.0,24
Brown,WP1,2024-09-12,34.0,33.0,24
Pink,WP0,2024-09-13,34.0,33.0,24
Pink,WP1,2024-09-13,34.0,33.0,24
White,WP0,2024-09-13,34.0,33.0,24
White,WP1,2024-09-13,34.0,33.0,24
Brown,WP0,2024-09-13,34.0,33.0,24
Brown,WP1,2024-09-13,34.0,33.0,24
Pink,WP0,2024-09-16,34.0,33.0,24
Pink,WP1,2024-09-16,34.0,33.0,24
White,WP0,2024-09-16,34.0,33.0,24
White,WP1,2024-09-16,34.0,33.0,24
Brown,WP0,2024-09-16,34.0,33.0,24
Brown,WP1,2024-09-16,34.0,33.0,24
Pink,WP0,2024-09-17,33.0,32.0,23
Pink,WP1,2024-09-17,33.0,32.0,23
White,WP0,2024-09-17,33.0,32.0,23
White,WP1,2024-09-17,33.0,32.0,23
Brown,WP0,2024-09-17,33.0,32.0,23
Brown,WP1,2024-09-17,33.0,32.0,23
Pink,WP0,2024-09-18,34.0,33.0,24
Pink,WP1,2024-09-18,34.0,33.0,24
White,WP0,2024-09-18,34.0,33.0,24
White,WP1,2024-09-18,34.0,33.0,24
Brown,WP0,2024-09-18,34.0,33.0,24
Brown,WP1,2024-09-18,34.0,33.0,24
Pink,WP0,2024-09-20,27.0,26.0,36
Pink,WP1,2024-09-20,27.0,26.0,36
White,WP0,2024-09-20,27.0,26.0,36
White,WP1,2024-09-20,27.0,26.0,36
Brown,WP0,2024-09-20,27.0,26.0,36
Brown,WP1,2024-09-20,27.0,26.0,36
Pink,WP0,2024-09-21,26.0,25.0,37
Pink,WP1,2024-09-21,26.0,25.0,37
White,WP0,2024-09-21,26.0,25.0,37
White,WP1,2024-09-21,26.0,25.0,37
Brown,WP0,2024-09-21,26.0,25.0,37
Brown,WP1,2024-09-21,26.0,25.0,37
Pink,WP0,2024-09-23,26.0,25.0,38
Pink,WP1,2024-09-23,26.0,25.0,38
White,WP0,2024-09-23,26.0,25.0,38
White,WP1,2024-09-23,26.0,25.0,38
Brown,WP0,2024-09-23,26.0,25.0,38
Brown,WP1,2024-09-23,26.0,25.0,38
Pink,WP0,2024-09-24,25.0,24.0,40
Pink,WP1,2024-09-24,25.0,24.0,40
White,WP0,2024-09-24,25.0,24.0,40
White,WP1,2024-09-24,25.0,24.0,40
Brown,WP0,2024-09-24,25.0,24.0,40
Brown,WP1,2024-09-24,25.0,24.0,40
Pink,WP0,2024-10-16,25.0,24.0,32
Pink,WP1,2024-10-16,25.0,24.0,32
White,WP0,2024-10-16,25.0,24.0,32
White,WP1,2024-10-16,25.0,24.0,32
Brown,WP0,2024-10-16,25.0,24.0,32
Brown,WP1,2024-10-16,25.0,24.0,32
Pink,WP0,2024-10-17,25.0,24.0,40
Pink,WP1,2024-10-17,25.0,24.0,40
White,WP0,2024-10-17,25.0,24.0,40
White,WP1,2024-10-17,25.0,24.0,40
Brown,WP0,2024-10-17,25.0,24.0,40
Brown,WP1,2024-10-17,25.0,24.0,40
Pink,WP0,2024-10-18,25.0,24.0,35
Pink,WP1,2024-10-18,25.0,24.0,35
White,WP0,2024-10-18,25.0,24.0,35
White,WP1,2024-10-18,25.0,24.0,35
Brown,WP0,2024-10-18,25.0,24.0,35
Brown,WP1,2024-10-18,25.0,24.0,35
Pink,WP0,2024-10-23,25.0,24.0,32
Pink,WP1,2024-10-23,25.0,24.0,32
White,WP0,2024-10-23,25.0,24.0,32
White,WP1,2024-10-23,25.0,24.0,32
Brown,WP0,2024-10-23,25.0,24.0,32
Brown,WP1,2024-10-23,25.0,24.0,32
Pink,WP0,2024-10-24,25.0,24.0,44
Pink,WP1,2024-10-24,25.0,24.0,44
White,WP0,2024-10-24,25.0,24.0,44
White,WP1,2024-10-24,25.0,24.0,44
Brown,WP0,2024-10-24,25.0,24.0,44
Brown,WP1,2024-10-24,25.0,24.0,44
Pink,WP0,2024-10-28,25.0,24.0,42
Pink,WP1,2024-10-28,25.0,24.0,42
White,WP0,2024-10-28,25.0,24.0,42
White,WP1,2024-10-28,25.0,24.0,42
Brown,WP0,2024-10-28,25.0,24.0,42
Brown,WP1,2024-10-28,25.0,24.0,42
Pink,WP0,2024-10-29,25.0,24.0,52
Pink,WP1,2024-10-29,25.0,24.0,52
White,WP0,2024-10-29,25.0,24.0,52
White,WP1,2024-10-29,25.0,24.0,52
Brown,WP0,2024-10-29,25.0,24.0,52
Brown,WP1,2024-10-29,25.0,24.0,52
Pink,WP0,2024-10-30,25.0,24.0,40
Pink,WP1,2024-10-31,25.0,24.0,40
White,WP0,2024-11-01,25.0,24.0,40
White,WP1,2024-11-02,25.0,24.0,40
Brown,WP0,2024-11-03,25.0,24.0,40
Brown,WP1,2024-11-04,25.0,24.0,40
Pink,WP1,2024-10-30,25.0,24.0,47
White,WP0,2024-10-30,25.0,24.0,47
White,WP1,2024-10-30,25.0,24.0,47
Brown,WP0,2024-10-30,25.0,24.0,47
Brown,WP1,2024-10-30,25.0,24.0,47
Pink,WP0,2024-10-31,25.0,24.0,55
White,WP0,2024-10-31,25.0,24.0,55
White,WP1,2024-10-31,25.0,24.0,55
Brown,WP0,2024-10-31,25.0,24.0,55
Brown,WP1,2024-10-31,25.0,24.0,55
Pink,WP0,2024-11-01,25.0,24.0,35
Pink,WP1,2024-11-01,25.0,24.0,35
White,WP1,2024-11-01,25.0,24.0,35
Brown,WP0,2024-11-01,25.0,24.0,35
Brown,WP1,2024-11-01,25.0,24.0,35
Pink,WP0,2024-11-04,25.0,24.0,49
Pink,WP1,2024-11-04,25.0,24.0,49
White,WP0,2024-11-04,25.0,24.0,49
White,WP1,2024-11-04,25.0,24.0,49
Brown,WP0,2024-11-04,25.0,24.0,49
Pink,WP0,2024-11-05,24.0,23.0,51
Pink,WP1,2024-11-05,24.0,23.0,51
White,WP0,2024-11-05,24.0,23.0,51
White,WP1,2024-11-05,24.0,23.0,51
Brown,WP0,2024-11-05,24.0,23.0,51
Brown,WP1,2024-11-05,24.0,23.0,51
Pink,WP0,2024-11-06,24.0,23.0,55
Pink,WP1,2024-11-06,24.0,23.0,55
White,WP0,2024-11-06,24.0,23.0,55
White,WP1,2024-11-06,24.0,23.0,55
Brown,WP0,2024-11-06,24.0,23.0,55
Brown,WP1,2024-11-06,24.0,23.0,55
Pink,WP0,2024-11-07,24.0,23.0,51
Pink,WP1,2024-11-07,24.0,23.0,51
White,WP0,2024-11-07,24.0,23.0,51
White,WP1,2024-11-07,24.0,23.0,51
Brown,WP0,2024-11-07,24.0,23.0,51
Brown,WP1,2024-11-07,24.0,23.0,51
Pink,WP0,2024-11-08,25.0,24.0,41
Pink,WP1,2024-11-08,25.0,24.0,41
White,WP0,2024-11-08,25.0,24.0,41
White,WP1,2024-11-08,25.0,24.0,41
Brown,WP0,2024-11-08,25.0,24.0,41
Brown,WP1,2024-11-08,25.0,24.0,41
Pink,WP0,2024-11-11,24.0,23.0,48
Pink,WP1,2024-11-11,24.0,23.0,48
White,WP0,2024-11-11,24.0,23.0,48
White,WP1,2024-11-11,24.0,23.0,48
Brown,WP0,2024-11-11,24.0,23.0,48
Brown,WP1,2024-11-11,24.0,23.0,48
Pink,WP0,2024-11-12,23.0,22.0,62
Pink,WP1,2024-11-12,23.0,22.0,62
White,WP0,2024-11-12,23.0,22.0,62
White,WP1,2024-11-12,23.0,22.0,62
Brown,WP0,2024-11-12,23.0,22.0,62
Brown,WP1,2024-11-12,23.0,22.0,62
Pink,WP0,2024-11-13,22.0,21.0,63
Pink,WP1,2024-11-13,22.0,21.0,63
White,WP0,2024-11-13,22.0,21.0,63
White,WP1,2024-11-13,22.0,21.0,63
Brown,WP0,2024-11-13,22.0,21.0,63
Brown,WP1,2024-11-13,22.0,21.0,63
Pink,WP0,2024-11-14,23.0,22.0,63
Pink,WP1,2024-11-14,23.0,22.0,63
White,WP0,2024-11-14,23.0,22.0,63
White,WP1,2024-11-14,23.0,22.0,63
Brown,WP0,2024-11-14,23.0,22.0,63
Brown,WP1,2024-11-14,23.0,22.0,63
Pink,WP0,2024-11-15,23.0,22.0,68
Pink,WP1,2024-11-15,23.0,22.0,68
White,WP0,2024-11-15,23.0,22.0,68
White,WP1,2024-11-15,23.0,22.0,68
Brown,WP0,2024-11-15,23.0,22.0,68
Brown,WP1,2024-11-15,23.0,22.0,68
Pink,WP0,2024-11-18,25.0,24.0,52
Pink,WP1,2024-11-18,25.0,24.0,52
White,WP0,2024-11-18,25.0,24.0,52
White,WP1,2024-11-18,25.0,24.0,52
Brown,WP0,2024-11-18,25.0,24.0,52
Brown,WP1,2024-11-18,25.0,24.0,52
Pink,WP0,2024-11-20,24.0,23.0,60
Pink,WP1,2024-11-20,24.0,23.0,60
White,WP0,2024-11-20,24.0,23.0,60
White,WP1,2024-11-20,24.0,23.0,60
Brown,WP0,2024-11-20,24.0,23.0,60
Brown,WP1,2024-11-20,24.0,23.0,60
Pink,WP0,2024-10-14,25.0,24.0,31
Pink,WP1,2024-10-14,25.0,24.0,31
White,WP0,2024-10-14,25.0,24.0,31
White,WP1,2024-10-14,25.0,24.0,31
Brown,WP0,2024-10-14,25.0,24.0,31
Brown,WP1,2024-10-14,25.0,24.0,31
Pink,WP0,2024-10-15,25.0,24.0,33
Pink,WP1,2024-10-15,25.0,24.0,33
White,WP0,2024-10-15,25.0,24.0,33
White,WP1,2024-10-15,25.0,24.0,33
Brown,WP0,2024-10-15,25.0,24.0,33
Brown,WP1,2024-10-15,25.0,24.0,33
Pink,WP0,2024-10-03,26.0,25.0,31
Pink,WP1,2024-10-03,26.0,25.0,31
White,WP0,2024-10-03,26.0,25.0,31
White,WP1,2024-10-03,26.0,25.0,31
Brown,WP0,2024-10-03,26.0,25.0,31
Brown,WP1,2024-10-03,26.0,25.0,31
Pink,WP1,2024-10-01,26.0,25.0,39
White,WP0,2024-10-01,26.0,25.0,39
White,WP1,2024-10-01,26.0,25.0,39
Brown,WP0,2024-10-01,26.0,25.0,39
Brown,WP1,2024-10-01,26.0,25.0,39
Pink,WP0,2024-10-01,26.0,25.0,40
Pink,WP0,2024-09-30,25.0,24.0,41
Pink,WP1,2024-09-30,25.0,24.0,41
White,WP0,2024-09-30,25.0,24.0,41
White,WP1,2024-09-30,25.0,24.0,41
Brown,WP0,2024-09-30,25.0,24.0,41
Brown,WP1,2024-09-30,25.0,24.0,41
Pink,WP0,2024-09-27,26.0,25.0,40
Pink,WP1,2024-09-27,26.0,25.0,40
White,WP0,2024-09-27,26.0,25.0,40
White,WP1,2024-09-27,26.0,25.0,40
Brown,WP0,2024-09-27,26.0,25.0,40
Brown,WP1,2024-09-27,26.0,25.0,40
Pink,WP0,2024-09-25,26.0,25.0,40
Pink,WP1,2024-09-25,26.0,25.0,40
White,WP0,2024-09-25,26.0,25.0,40
White,WP1,2024-09-25,26.0,25.0,40
Brown,WP0,2024-09-25,26.0,25.0,40
Brown,WP1,2024-09-25,26.0,25.0,40
Pink,WP0,2024-09-26,26.0,25.0,39
Pink,WP1,2024-09-26,26.0,25.0,39
White,WP0,2024-09-26,26.0,25.0,39
White,WP1,2024-09-26,26.0,25.0,39
Brown,WP0,2024-09-26,26.0,25.0,39
Brown,WP1,2024-09-26,26.0,25.0,39
Pink,WP0,2024-10-02,26.0,25.0,33
Pink,WP1,2024-10-02,26.0,25.0,33
White,WP0,2024-10-02,26.0,25.0,33
White,WP1,2024-10-02,26.0,25.0,33
Brown,WP0,2024-10-02,26.0,25.0,33
Brown,WP1,2024-10-02,26.0,25.0,33
